iteration	candidate_commit	dev_rmse	val_rmse	runtime_s	memory_mb	status	failure_stage	failure_message	complexity	description	rationale	source
247	cfc8faac39200b5fd01dd2620a2f9ea12f425788	17.329056		1.349	98.6	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 34 neighbors	The optional third refinement needs a query-local 32-neighbor residual center to limit curvature and asymmetric-density bias, but estimating MAD from the same small core can make its thin-sheet confidence and rejection cutoff noisy. The measured 36- and 40-neighbor scale-only probes improved clean, low-, medium-, and high-noise conditions but slightly regressed stripe and gradient geometry; 34 neighbors is the next untested midpoint between the retained 32-neighbor scale and the measured 36-neighbor scale. Keep the Gaussian-weighted median on 32 residuals, compute sigma = 1.4826 weighted_median(|e - m_32|) on 34 residuals, and apply the resulting Tukey weights to all 128 covariance samples. Low, medium, and high noise should improve through a stabler scale; clean should remain near the frontier, while stripe and gradient may regress slightly through broader-patch bias, but less than with 36 samples. The cost is sorting 34 rather than 32 values only for the third-pass MAD. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier estimator.	original
248	ce61e35c364673482d3e3bda541ce9cc64b3a637	17.329052		1.324	97.5	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 33 neighbors	The optional third refinement needs a query-local 32-neighbor residual center to limit curvature and asymmetric-density bias, but estimating MAD from exactly the same small core can make its thin-sheet confidence and rejection cutoff noisy. The measured 34-, 36-, and 40-neighbor scale-only probes show that modest scale broadening can improve clean and medium/high-noise accuracy, although broader scales can regress stripe and gradient geometry; 33 neighbors is the next untested minimal increment and isolates whether one extra residual adds useful scale stability without materially broadening the robust reference. Keep the Gaussian-weighted median on 32 residuals, compute sigma = 1.4826 weighted_median(|e - m_32|) on 33 residuals, and apply the resulting Tukey weights to all 128 covariance samples. Medium and high noise should improve slightly; clean and low noise should remain near the frontier, while stripe and gradient may regress slightly if the extra sample carries neighborhood bias. The cost is sorting one additional value only for the third-pass MAD. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier estimator.	original
249	ea27c9c838157b247db40e66060fa0bccdcdd0c6	17.329164		1.328	97.6	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 31 neighbors	The completed third-pass scale sweep found that broadening MAD beyond the query-local 32-neighbor core can stabilize medium/high-noise estimates but repeatedly introduces stripe and gradient neighborhood bias; the ordered quadratic-jet item remains blocked because its prediction crash has no precise diagnostic to address. This untested opposite parameter direction keeps the residual center on 32 neighbors but estimates sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 31, preventing the outermost core residual from inflating the Tukey cutoff and thin-sheet confidence under curvature or asymmetric density. Clean, stripe, and gradient conditions should improve through a slightly more local scale; low, medium, and high noise may regress because one fewer residual makes MAD less stable and can reduce effective support. The cost is sorting one fewer value only for the third-pass MAD, with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier estimator.	original
250	784a6253f87ea91512174f0a441b18d0dacbfd79	17.331108		1.304	97.6	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 30 neighbors	The completed upward scale sweep showed that broadening the third-pass MAD beyond its query-local 32-neighbor center can stabilize noisy estimates but repeatedly introduces stripe and gradient neighborhood bias; the first opposite probe at 31 neighbors modestly improved clean, medium-noise, and stripe accuracy while regressing low noise, high noise, and gradient. This next untested scale anchor keeps the residual location on 32 neighbors but estimates sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 30, further limiting curvature- or asymmetric-density-inflated residuals from widening the Tukey cutoff and thin-sheet gate. Clean and stripe should improve if additional locality dominates, and medium noise may retain the 31-neighbor gain; low noise, high noise, and gradient may regress because two fewer residuals make MAD less stable and can reduce effective covariance support. The cost is sorting two fewer values only for the third-pass MAD, with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier estimator. The ordered quadratic-jet retry remains skipped because its prior prediction failure has no precise diagnostic to address.	original
251	eb39a6d7d6ae0e8f9a939a07f5f99cf61b78784a	17.326848		1.337	113.8	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 28 neighbors	The completed upward scale sweep showed that broadening the third-pass MAD beyond its query-local 32-neighbor center can stabilize noise but introduces stripe and gradient neighborhood bias, while the first downward anchors at 31 and 30 neighbors exposed the opposite locality-versus-stability trade-off. This next untested scale anchor keeps the residual location on 32 neighbors but estimates sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 28, further preventing curvature- or asymmetric-density-inflated outer residuals from widening the Tukey cutoff and thin-sheet gate. Clean, stripe, and gradient may improve if scale locality dominates; low, medium, and high noise may regress because four fewer residuals make MAD less stable and can reduce effective covariance support. The cost is sorting four fewer values only for the third-pass MAD, with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier estimator. The ordered quadratic-jet retry remains skipped because its prior prediction failure has no precise diagnostic to address.	original
252	2c5bc97c65ea9f56713f8e8dc92f1f3f691a81ff	17.324242		1.329	97.5	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 24 neighbors	The third-pass residual median should remain stable on its retained 32-neighbor core, but curvature or asymmetric density near that core boundary can inflate the MAD, widen the Tukey rejection band, and make the thin-sheet gate overly permissive. The measured 28-neighbor scale improved clean, low-noise, medium-noise, and stripe conditions while only high noise and gradient regressed, so 24 is the next untested scale anchor in the same locality direction. Keep the residual location on 32 neighbors but compute sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 24, then use that sigma for third-pass Tukey weights and gating. Clean, low-noise, medium-noise, and stripe conditions should improve if the measured 28-neighbor locality trend continues; high noise and gradient may regress because the smaller scale sample is less stable and can reduce effective covariance support. The cost is sorting eight fewer residuals only for the third-pass MAD, with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier estimator.	original
253	9bf5f47a47884746c5b9156e2b0a5981122cda7c	17.323119		1.316	113.6	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 16 neighbors	The third-pass residual median remains on its stable 32-neighbor core, but curvature or asymmetric density near that core's boundary can inflate MAD, widen the Tukey rejection interval, and make the thin-sheet gate overly permissive. The measured 24-neighbor scale improved clean, low-noise, stripe, and gradient conditions while regressing medium and high noise, so 16 is the next untested locality anchor. Keep the location at 32 neighbors but compute sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 16, then use that sigma for third-pass Tukey weights and gating. Clean, low-noise, stripe, and gradient should improve if stronger scale locality further suppresses curvature and density bias; medium and high noise may regress because a 16-sample MAD is less stable and can reduce effective covariance support. The cost is sorting fewer residuals with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier estimator.	original
254	0774254849f220f9b4a73118b53674196a680e12	17.354662		1.43	113.6	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 8 neighbors	Curvature or asymmetric density near the boundary of the 32-neighbor residual core can inflate the third-pass MAD, widening both the Tukey rejection interval and the thin-sheet acceptance gate. The measured reductions from 32 to 24 and 16 scale samples improved clean, low-noise, stripe, and gradient accuracy while trading away medium/high-noise stability, so 8 neighbors is the next untested scale anchor in that locality direction. Keep the residual location on 32 neighbors, but compute sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 8 and use it for third-pass rejection and gating. Clean, low-noise, stripe, and gradient should improve through lower curvature and density bias; medium and high noise may regress because an 8-sample MAD is less stable and can reduce effective covariance support. The cost is a smaller sort with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier estimator.	original
255	d8a1a8860a3c7c8f7277c99175404a05e01e00af	17.330355		1.3	97.5	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 12 neighbors	The third-pass residual center benefits from its stable 32-neighbor core, but curvature or asymmetric density near that core boundary can inflate MAD, widen the Tukey rejection interval, and make the thin-sheet gate overly permissive. The measured 16-neighbor scale improved clean, low-noise, stripe, and gradient conditions but regressed medium and high noise, whereas reducing it further to 8 neighbors destabilized all but low noise; 12 is the next untested midpoint and should retain part of the 16-neighbor reduction in curvature and density bias with less scale variance than 8. Clean, low-noise, stripe, and gradient should improve relative to the frontier if locality dominates; medium and high noise may regress because a 12-sample MAD is less stable and can reduce effective covariance support. The cost is sorting fewer residuals with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier estimator; comparisons with 8 and 16 independently isolate this midpoint.	original
256	3c7a3c8ef736ab215d6bce6678e756c0fa2c8116	17.327579		1.307	113.6	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 14 neighbors	The third-pass residual center benefits from a stable 32-neighbor core, but curvature or asymmetric density near that core boundary can inflate MAD, widen the Tukey rejection interval, and make the thin-sheet gate overly permissive. The measured 16-neighbor scale improved clean, low-noise, stripe, and gradient conditions while regressing medium and high noise, whereas 12 neighbors preserved those geometry-sensitive gains but caused substantially larger noisy-condition regressions; 14 is the next untested midpoint. Keep the weighted residual median on 32 neighbors, compute sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 14, and use it for third-pass Tukey weighting and gating. Clean, low-noise, stripe, and gradient should improve through lower curvature and density bias; medium and high noise may regress because the smaller MAD sample is less stable, but should lose less stability than at 12. The cost is sorting fewer residuals with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier; settings 12 and 16 independently bracket this parameter.	original
257	2d884507a5bd05ff82c91fea09e6b3c4b6f5bbf9	17.327728		1.347	113.5	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 15 neighbors	Curvature or asymmetric density near the boundary of the stable 32-neighbor residual-location core can inflate the third-pass MAD, widen the Tukey rejection interval, and make the thin-sheet gate overly permissive. The measured 16-neighbor scale improved clean, low-noise, stripe, and gradient conditions while regressing medium and high noise; the measured 14-neighbor scale preserved those geometry-sensitive gains but produced larger noisy-condition losses. Using the untested midpoint of 15 samples for sigma = 1.4826 weighted_median(|e - m_32|) should retain locality against curvature and density bias while being more statistically stable than 14. Clean, low-noise, stripe, and gradient should improve; medium and high noise may regress because the smaller MAD sample can reduce effective covariance support, but should regress less than at 14. The cost is only sorting fewer residuals, with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier; settings 14 and 16 independently bracket this parameter.	original
258	e19a4313173748e40fd81166669761cd27272b93	17.323664		1.323	97.5	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 20 neighbors	Curvature or asymmetric density near the boundary of the stable 32-neighbor residual-location core can inflate the third-pass MAD, widen Tukey's rejection interval, and make the thin-sheet gate overly permissive. The measured 24- and 16-neighbor scale probes both improved clean, low-noise, stripe, and gradient accuracy, while 16 incurred substantially larger medium/high-noise losses; 20 is the next untested midpoint. Keep the weighted residual median on 32 neighbors, compute sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 20, and use it for third-pass Tukey weighting and gating. Clean, low-noise, stripe, and gradient should improve through lower curvature and density bias; medium and high noise may regress because the smaller MAD sample is less stable, but should retain more support than at 16. The cost is sorting fewer residuals with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier; settings 16 and 24 independently bracket this parameter.	original
259	e191946976a6a84dd3ee8a4cd9bff3b5664a40a7	17.324954		1.301	106.2	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 22 neighbors	Curvature or asymmetric density near the boundary of the stable 32-neighbor residual-location core can inflate the third-pass MAD, widen Tukey's rejection interval, and make the thin-sheet gate overly permissive. The measured 20- and 24-neighbor scale probes both improved clean, low-noise, and stripe accuracy while regressing medium and high noise; 22 is the next untested midpoint. Keep the Gaussian-weighted residual median on 32 neighbors, compute sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 22, and use it for third-pass Tukey weighting and gating. Clean, low-noise, and stripe conditions should improve through lower curvature and density bias; gradient may remain near neutral between the measured endpoints, while medium and high noise may regress because the smaller MAD sample is less stable and can reduce effective covariance support. The cost is sorting fewer residuals with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier; settings 20 and 24 independently bracket this parameter.	original
260	f037e3036d7a4be9f86696cc6f93d504b086774c	17.328802		1.308	97.6	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 23 neighbors	Curvature or asymmetric density near the boundary of the stable 32-neighbor residual-location core can inflate the third-pass MAD, widen Tukey's rejection interval, and make the thin-sheet gate overly permissive. The measured 22- and 24-neighbor scale probes both improved clean, low-noise, and stripe accuracy while regressing medium and high noise; 23 is their untested midpoint. Keep the Gaussian-weighted residual median on 32 neighbors, compute sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 23, and use it for third-pass Tukey weighting and gating. Clean, low-noise, and stripe conditions should improve through lower curvature and density bias; gradient should remain near neutral between the measured endpoints, while medium and high noise may regress because the smaller MAD sample is less stable and can reduce effective covariance support. The cost is sorting fewer residuals with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier; settings 22 and 24 independently bracket this parameter.	original
261	b65713eedd74202952c97aed17bcab25e9f1b2fc	17.32634		1.334	113.5	discard			baseline	Estimate the gated third-pass Tukey residual median from 32 neighbors and MAD scale from 21 neighbors	Curvature or asymmetric density near the boundary of the stable 32-neighbor residual-location core can inflate the third-pass MAD, widen Tukey's rejection interval, and make the thin-sheet gate overly permissive. The measured 20- and 22-neighbor scale probes both improved clean, low-noise, and stripe accuracy while regressing medium and high noise; 21 is their untested midpoint. Keep the Gaussian-weighted residual median on 32 neighbors, compute sigma = 1.4826 weighted_median(|e - m_32|) from the nearest 21, and use it for third-pass Tukey weighting and gating. Clean, low-noise, and stripe conditions should improve through lower curvature and density bias; gradient may regress slightly, while medium and high noise may regress because the smaller MAD sample is less stable and can reduce effective covariance support. The cost is sorting fewer residuals with unchanged covariance support and eigendecomposition count. Ablate by setting THIRD_SCALE_COUNT to 32, exactly recovering the validated frontier; settings 20 and 22 independently bracket this parameter.	original
262	186b69b8b3ae9b7b9a079e3ef1934d2160068c8c	17.436978		1.317	105.8	discard			medium	Require a material robust residual offset before accepting the thin-sheet third Tukey refinement	The retained thickness gate shows that a third redescending fit helps coherent geometry, but thinness alone does not show that the current two-step plane is biased: on a thin sheet whose weighted residual median is already near zero, another fit can only perturb the tangent and reduce effective noise-averaging support. In addition to sigma / r_112 <= 0.10, accept the third normal only when |m| / sigma >= 0.25, where m and sigma are the existing 32-neighbor Gaussian-weighted residual median and MAD scale. This dimensionless condition reserves robust recentering for a coherent sheet materially displaced by curvature, asymmetric density, or outliers. Medium and high noise should improve by avoiding unnecessary third fits; clean, low-noise, stripe, and gradient may regress when useful angular corrections have little median offset. The cost is one absolute value and comparison per query, with no new fit or statistic. Ablate by setting THIRD_REFINEMENT_MIN_OFFSET to zero, exactly recovering the validated thickness-only gate.	original
263	3c326ccbda0c3a9b80a53a63337a6b6f769609fe	17.331623		1.331	105.7	discard			medium	Accept the thin-sheet third Tukey refinement only when consecutive normal corrections have consistent direction	The retained thickness gate identifies coherent sheets where a third redescending fit can remove curvature, asymmetric-density, and outlier bias, but it still accepts some noise-driven updates that reduce effective support. After sign-aligning the normals, require (n2 - n1) dot (n3 - n2) > 0 in addition to sigma / r112 <= 0.10: a persistent geometric bias should drive successive IRLS corrections in the same tangent direction, whereas noise-induced corrections are more likely to reverse or oscillate. Medium and high noise should improve by rejecting oscillatory third updates; clean, low-noise, stripe, and gradient conditions should retain corrections that converge consistently, but may regress when a useful nonlinear correction reverses direction. The cost is sign alignment and two vector differences and dot products per query, with no additional fit. Ablate by removing the directional-consistency condition, exactly recovering the validated thickness-only gate.	original
264						crash	quality.ruff-fix	Ruff exited with status 1	medium	Accept the thin-sheet third Tukey refinement only when it improves the normal eigengap	The retained thickness gate identifies coherent sheets where a third redescending fit can remove curvature, asymmetric-density, and outlier leverage, but it can still accept noise-driven fits whose reduced support leaves the normal direction poorly identified. In addition to sigma / r_112 <= 0.10, accept the third normal only when its covariance decreases the dimensionless ambiguity lambda_0 / lambda_1 relative to the two-step covariance. This requires the extra fit to sharpen separation between normal and tangent variation rather than merely rotate an uncertain estimate. Medium and high noise should improve by rejecting refinements that weaken normal identifiability; clean, low-noise, stripe, and gradient conditions should retain corrections that clarify a tangent, but may regress when a useful curvature correction slightly worsens the eigengap. The cost is retaining two eigenvalue ratios and one comparison per query, with no additional fit. Ablate by removing the eigengap-improvement condition, exactly recovering the validated thickness-only gate. The ordered quadratic-jet retry remains skipped because its prior prediction crash has no precise diagnostic to address.	original
265	ce1428289c8393a1bf5e0b7972ececd58d87702d	17.334714		1.325	97.5	discard			medium	Accept the thin-sheet third Tukey refinement only when it improves the normal eigengap	The retained thickness gate identifies coherent sheets where a third redescending fit can remove curvature, asymmetric-density, and outlier leverage, but it can still accept noise-driven fits whose reduced support leaves the normal direction poorly identified. In addition to sigma / r_112 <= 0.10, accept the third normal only when its covariance decreases the dimensionless ambiguity lambda_0 / lambda_1 relative to the two-step covariance. This requires the extra fit to sharpen separation between normal and tangent variation rather than merely rotate an uncertain estimate. Medium and high noise should improve by rejecting refinements that weaken normal identifiability; clean, low-noise, stripe, and gradient conditions should retain corrections that clarify a tangent, but may regress when a useful curvature correction slightly worsens the eigengap. The cost is retaining two eigenvalue ratios and one comparison per query, with no additional fit. Ablate by removing the eigengap-improvement condition, exactly recovering the validated thickness-only gate. This retries iteration 264 because it failed during Ruff processing before measurement, so the conceptual hypothesis remains untested.	original
266	3350a33fbd2e2a458a9d97a1798cbc6654660d7d	17.365505		1.47	113.7	discard			medium	Require split-half normal stability before accepting the thin-sheet third Tukey refinement	The retained thickness gate can accept a third redescending fit on a coherent-looking but noise-limited patch, while the rejected eigengap gate measures only one covariance and cannot reveal sampling instability. Split the third-pass weighted patch into deterministic rank-interleaved halves, fit one PCA normal to each, and accept the thin-sheet update only when their sign-invariant disagreement angle is smaller than the proposed two-step-to-three-step correction angle. The correction is then geometrically resolvable beyond a direct local perturbation estimate rather than merely rotating within sampling uncertainty. Medium and high noise should improve by rejecting unstable extra fits; clean, low-noise, stripe, and gradient should retain stable curvature-, density-, and outlier-bias corrections, but may regress when a useful small correction is below split-half uncertainty. The cost is two additional 3-by-3 eigendecompositions per query. Ablate by removing the split-half comparison, exactly recovering the validated thickness-only gate.	original
267	4820c762177adc9ca86ad7697697ff11e9ce8fa1	17.341269		1.323	114.4	discard			low	Shrink the gated third-pass robust covariance 10% toward the preceding two-step covariance	The thin-sheet gate permits a third redescending fit where curvature, density bias, or outliers may remain, but Tukey rejection can reduce effective support enough that its covariance becomes noisy; recent eigengap and split-half acceptance gates protected medium/high noise only by discarding too many useful clean-geometry corrections. For the already-computed third fit, diagonalize C = 0.9 C3 + 0.1 C2 instead of C3, where C2 is the preceding 128-neighbor robust covariance. This standard covariance shrinkage continuously regularizes all principal directions toward the better-supported estimate without rejecting the third-step mechanism. Medium and high noise should improve through lower covariance variance; clean, low-noise, stripe, and gradient may regress slightly because curvature-, density-, and outlier-bias corrections are attenuated. The cost is one 3-by-3 matrix blend per query and no extra eigendecomposition. Ablate by setting THIRD_COVARIANCE_SHRINKAGE to zero, exactly recovering the validated thickness-gated estimator.	original
268	b250abc12bf6e0f150ebf885398ff678633483b2	17.33535		1.316	105.3	discard			baseline	Shrink the gated third-pass covariance 5% toward the preceding two-step covariance	The thin-sheet third Tukey fit reduces curvature, density, and outlier bias, but redescending rejection also lowers effective support and makes its covariance noisier. The measured 10% covariance shrinkage improved medium- and high-noise conditions but over-attenuated useful clean, low-noise, stripe, and gradient corrections; this parameter probe uses C = 0.95 C3 + 0.05 C2 to retain more of the robust third-pass geometry while transferring a smaller amount of stability from the better-supported preceding covariance. Medium and high noise should improve modestly, while clean, low-noise, stripe, and gradient may regress less than at 10%. The cost is one 3-by-3 matrix blend per query and no extra eigendecomposition. Ablate by setting THIRD_COVARIANCE_SHRINKAGE to zero, exactly recovering the validated thickness-gated estimator; 0.10 independently recovers the measured stronger shrinkage endpoint. The ordered quadratic-jet retry remains skipped because its prior prediction crash has no precise diagnostic to address.	original
269	b9126089b165d8af972ad0633316b37aeae06c03	17.332476		1.319	113.5	discard			baseline	Shrink the gated third-pass covariance 2.5% toward the preceding two-step covariance	The thin-sheet third Tukey fit reduces curvature, density, and outlier bias, but redescending rejection lowers effective support and makes its covariance noisier. Measured 10% and 5% shrinkage both improved medium- and high-noise conditions while attenuating useful clean, low-noise, stripe, and gradient corrections; 2.5% is the next untested weaker anchor, using C = 0.975 C3 + 0.025 C2 to transfer a small amount of stability from the better-supported preceding covariance. Medium and high noise should improve modestly, while clean, low-noise, stripe, and gradient should regress less than at 5%. The cost is one 3-by-3 matrix blend per query and no extra eigendecomposition. Ablate by setting THIRD_COVARIANCE_SHRINKAGE to zero, exactly recovering the validated thickness-gated estimator; 0.05 independently recovers the measured stronger endpoint. The ordered quadratic-jet retry remains skipped because its prior prediction crash has no precise diagnostic to address.	original
270	ac32a76b2ba66e373436c2bc3604a891f94aaf40	17.331061		1.337	105.3	discard			baseline	Shrink the gated third-pass covariance 1.25% toward the preceding two-step covariance	The thin-sheet third Tukey fit reduces curvature, density, and outlier bias, but redescending rejection lowers effective support and makes its covariance noisier. Measured shrinkage strengths of 10%, 5%, and 2.5% consistently improved medium- and high-noise conditions while increasingly smaller strengths caused increasingly smaller clean, low-noise, stripe, and gradient regressions; 1.25% is the next untested weaker anchor. For the third pass only, diagonalize C = 0.9875 C3 + 0.0125 C2, transferring a minimal amount of stability from the better-supported preceding covariance while preserving nearly all of the robust geometric correction. Medium and high noise should improve slightly; clean, low-noise, stripe, and gradient may regress, but less than at 2.5%. The cost is one 3-by-3 matrix blend per query with no extra eigendecomposition. Ablate by setting THIRD_COVARIANCE_SHRINKAGE to zero, exactly recovering the validated thickness-gated estimator; setting it to 0.025 independently recovers the measured stronger endpoint.	original
271	305c2be94c2bd1e8ff1c8fc1190aac0dbe09e2ef	17.330358		1.369	113.5	discard			baseline	Shrink the gated third-pass covariance 0.625% toward the preceding two-step covariance	The thin-sheet third Tukey fit reduces curvature, density, and outlier bias, but redescending rejection lowers effective support and makes its covariance noisier. Measured shrinkage strengths of 10%, 5%, 2.5%, and 1.25% consistently improved medium- and high-noise conditions while progressively weaker strengths caused progressively smaller clean, low-noise, stripe, and gradient regressions; 0.625% is the next untested halving. For the third pass only, diagonalize C = 0.99375 C3 + 0.00625 C2, transferring minimal stability from the better-supported preceding covariance while retaining nearly all of the robust geometric correction. Medium and high noise should improve slightly; clean, low-noise, stripe, and gradient may regress by an even smaller amount than at 1.25%. The cost is one 3-by-3 matrix blend per query with no extra eigendecomposition. Ablate by setting THIRD_COVARIANCE_SHRINKAGE to zero, exactly recovering the validated thickness-gated estimator; setting it to 0.0125 independently recovers the measured stronger endpoint.	original
272	cb3e7fbcee2ae4b8c779214c7055ea4c69687fb0	17.330009		1.372	97.5	discard			baseline	Shrink the gated third-pass covariance 0.3125% toward the preceding two-step covariance	The thin-sheet third Tukey fit reduces curvature, density, and outlier bias, but redescending rejection lowers effective support and makes its covariance noisier. Measured shrinkage strengths from 10% through 0.625% consistently improved medium- and high-noise conditions while progressively weaker strengths caused progressively smaller clean, low-noise, stripe, and gradient regressions; 0.3125% is the next untested halving. For the third pass only, diagonalize C = 0.996875 C3 + 0.003125 C2, transferring minimal stability from the better-supported preceding covariance while retaining nearly all of the robust geometric correction. Medium and high noise should improve slightly; clean, low-noise, stripe, and gradient may regress by less than at 0.625%. The cost is one 3-by-3 matrix blend per query with no extra eigendecomposition. Ablate by setting THIRD_COVARIANCE_SHRINKAGE to zero, exactly recovering the validated thickness-gated estimator; setting it to 0.00625 independently recovers the measured stronger endpoint.	original
273	9e06e07f5395d231fbe1b358505e9fab6f21d282	17.329834		1.324	95.5	discard			baseline	Shrink the gated third-pass covariance 0.15625% toward the preceding two-step covariance	The thin-sheet third Tukey fit reduces curvature, density, and outlier bias, but redescending rejection lowers effective support and makes its covariance noisier. Measured shrinkage strengths from 10% through 0.3125% consistently improved medium- and high-noise conditions while progressively weaker strengths caused progressively smaller clean, low-noise, stripe, and gradient regressions; 0.15625% is the next untested halving. For the third pass only, diagonalize C = 0.9984375 C3 + 0.0015625 C2, transferring minimal stability from the better-supported preceding covariance while retaining nearly all of the robust geometric correction. Medium and high noise should improve slightly; clean, low-noise, stripe, and gradient may regress by less than at 0.3125%. The cost is one 3-by-3 matrix blend per query with no extra eigendecomposition. Ablate by setting THIRD_COVARIANCE_SHRINKAGE to zero, exactly recovering the validated thickness-gated estimator; setting it to 0.003125 independently recovers the measured stronger endpoint.	original
274	e8b263188975f7179ee99cb6920df78fea1e9238	17.329747		1.349	97.4	discard			baseline	Shrink the gated third-pass covariance 0.078125% toward the preceding two-step covariance	The thin-sheet third Tukey fit reduces curvature, density, and outlier bias, but redescending rejection lowers effective support and makes its covariance noisier. Measured shrinkage strengths from 10% through 0.15625% consistently improved medium- and high-noise conditions while progressively weaker strengths caused progressively smaller clean, low-noise, stripe, and gradient regressions; 0.078125% is the next untested halving in that ordered parameter sequence. For the third pass only, diagonalize C = 0.99921875 C3 + 0.00078125 C2, transferring minimal stability from the better-supported preceding covariance while retaining nearly all of the robust geometric correction. Medium and high noise should improve slightly; clean, low-noise, stripe, and gradient may regress by less than at 0.15625%. The cost is one 3-by-3 matrix blend per query with no extra eigendecomposition. Ablate by setting THIRD_COVARIANCE_SHRINKAGE to zero, exactly recovering the validated thickness-gated estimator; setting it to 0.0015625 independently recovers the measured stronger endpoint. The ordered quadratic-jet retry remains skipped because its prior prediction failure has no precise diagnostic to address.	original
275	f1770480d3d994bc6fe3f2dd7de531e137a6ea7f	17.324171		1.32	97.7	discard			low	Extrapolate the accepted thin-sheet third Tukey normal 5% beyond its two-step correction	The gated third refinement corrects curvature-, asymmetric-density-, and outlier-induced tangent bias on thin coherent sheets, and the completed covariance-shrinkage sweep showed that attenuating this correction consistently worsens clean, low-noise, stripe, and gradient accuracy while only slightly helping medium/high noise. Test the unmeasured opposite direction: sign-align the third normal n3 with the two-step normal n2 and return normalize(n3 + 0.05 (n3 - n2)) only where the retained thickness gate accepts the third fit. This small geometric extrapolation assumes the successive robust correction still points toward the query-local tangent and may improve clean, low-noise, stripe, and gradient conditions; medium and high noise may regress if a residual noise-driven rotation is amplified. The cost is one dot product, vector update, and normalization per query, with no additional neighborhood fit. Ablate by setting THIRD_NORMAL_EXTRAPOLATION to zero, exactly recovering the validated estimator.	original
276	03687df12bf4bcfc693dd371668e794a1fc176b5	17.318931		1.34	97.6	discard			baseline	Extrapolate accepted thin-sheet third-step normal corrections by 10%	The retained gated third Tukey fit corrects curvature-, asymmetric-density-, and outlier-induced tangent bias on thin coherent sheets. The measured 5% normal extrapolation improved clean, low-noise, stripe, and gradient accuracy with only tiny medium/high-noise losses, while the completed covariance-shrinkage sweep showed that attenuating the same correction consistently moves those geometry-sensitive conditions in the wrong direction. For each gate-accepted patch, sign-align n3 to n2 and return normalize(n3 + 0.10 (n3 - n2)); this tests the next simple parameter anchor under the hypothesis that successive robust corrections still point toward the query-local tangent. Clean, low-noise, stripe, and gradient should improve further; medium and high noise may regress if residual noise-driven rotation is amplified. The cost is one dot product, vector update, and normalization per query, with no additional fit. Ablate by removing the extrapolation and returning the accepted third-step normal, exactly recovering the validated estimator; the measured 0.05 setting independently isolates extrapolation strength.	original
